Age,Gender,Relationship,Occasion,Hobbies,Gift
10 - 15,Male,Family,Birthday,Sports,Bicycle
10 - 15,Male,Family,Birthday,Music,Earphone
10 - 15,Male,Family,Birthday,Reading,Graphic Novels
10 - 15,Male,Family,Birthday,Casual,Sports Watch 
10 - 15,Male,Family,Graduation,Sports,Customized Sports Gear
10 - 15,Male,Family,Graduation,Music,Bluetooth Speaker
10 - 15,Male,Family,Graduation,Reading,Educational Stem Kit
10 - 15,Male,Family,Graduation,Casual,LEGO set
10 - 15,Male,Friend,Birthday,Sports,Sports Gear
10 - 15,Male,Friend,Birthday,Music,Headset
10 - 15,Male,Friend,Birthday,Reading,Adventure Book
10 - 15,Male,Friend,Birthday,Casual,Cool Cap
10 - 15,Male,Friend,Graduation,Sports,Sport shoes
10 - 15,Male,Friend,Graduation,Music,Mini bluetooth speaker
10 - 15,Male,Friend,Graduation,Reading,Graphic Cartoons
10 - 15,Male,Friend,Graduation,Casual,Gift Card
10 - 15,Female,Family,Birthday,Sports,Sports Equipment
10 - 15,Female,Family,Birthday,Music,Ukulele
10 - 15,Female,Family,Birthday,Reading,E-reader
10 - 15,Female,Family,Birthday,Casual,Jewelry
10 - 15,Female,Family,Graduation,Sports,Medal Display Rack
10 - 15,Female,Family,Graduation,Music,Headphone
10 - 15,Female,Family,Graduation,Reading,Bookstore Gift Card
10 - 15,Female,Family,Graduation,Casual,Instant Camera
10 - 15,Female,Friend,Birthday,Sports,Head Band
10 - 15,Female,Friend,Birthday,Music,Music-Themed Accessories
10 - 15,Female,Friend,Birthday,Reading,Book Light
10 - 15,Female,Friend,Birthday,Casual,Friendship Bracelets
10 - 15,Female,Friend,Graduation,Sports,Fitbit
10 - 15,Female,Friend,Graduation,Music,Concert Tickets
10 - 15,Female,Friend,Graduation,Reading,Young Adult Book Set
10 - 15,Female,Friend,Graduation,Casual,Photo Frame
15 - 20,Male,Family,Birthday,Sports,Sport Shoes
15 - 20,Male,Family,Birthday,Music,Bluetooth Speaker
15 - 20,Male,Family,Birthday,Reading,E-reader
15 - 20,Male,Family,Birthday,Casual,Gaming Accessories
15 - 20,Male,Family,Graduation,Sports,Gym Membership
15 - 20,Male,Family,Graduation,Music,Bluetooth Headphone
15 - 20,Male,Family,Graduation,Reading,Bookstore Gift Card
15 - 20,Male,Family,Graduation,Casual,Custom Engraved Watch
15 - 20,Male,Friend,Birthday,Sports,Sports Cap
15 - 20,Male,Friend,Birthday,Music,Wireless Earbuds
15 - 20,Male,Friend,Birthday,Reading,Popular Fiction Book
